Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
enepyh,hkrãhtũm,pirato,iwânzewâ,upureruz,onhenhomi,onoleen,garembiapopa,kyvé,juꞌi,ritỹmyrany,werowiaar,apôxk,yeparan,kõnãm,õn,tahad,ikkx,enawaiyexe,ijahajahakhama,revesti,taypykbaka,weita,numíkuxopono,tékã,ucuy,sébré
tuarõmatopõ,hapu,imisiritiko,âiehon,zeꞌez,raꞌe,onopil,remimombyry,garĩ,remimby,rasuhò,pejeojereꞌem,bapymjỳrk,ayapurî,popm,õdujowac,tabahasꞌ,khaixnyh,ekaxaikoharetyase,akarajomakhama,agüenta,tsiksibobokyzyky,hũ,okovó,wihakã,jucllayqui,tizab
exixihmah,ixkwỳ,hĩkiko,nhekadon,wemiruz,omboaxa,inokaan,nomyi,pĩ,temimby,rirybedỹỹny,ajaiwayr,kajkepk,eesenumenkasaꞌ,hãpkummug,jeweju,mahesꞌ,hittx,tyomihititere,oogajahaki,rasga,tynamypehapokzitsiki,meũpia,pivoâ,kukã,awćhuptin,pibu
tynynomoh,higêt,iauĩteakori,mâempajigâ,nuzeꞌez,romongeta,anapa,jambres,nu,ojekaru,ròhònyõhyy,iaꞌwyreꞌem,bamexk,tînarî,ug,nomujuac,raganad,hakx,nokahinaetyase,nabaro,avança,zikzikuikik,ihũ,yomâ,apomí,imanayta,tété
toerohtopõ,pahkra,sesaréia,kydâkaduwâ,nueruz,pexaꞌã,loxikon,nhanderuha,togvã,kwatia,ratxiõ,pejejeateeꞌem,jabêk,tîꞌnokoꞌpî,ãtig,ikukpin,ranadꞌ,hitx,maxemere,vakavaniha,assassina,nisiny,ꞌoro,keyînu,rekã,irmänunchicta,nomri
otuenikatopõ,kamrêk,hĩauĩte,nhenuen,pureruz,ojukapa,joxic,judá,tẽgtẽ,gwemimby,ririrany,arafuakapaw,kamnhĩxk,uyenkuꞌtî,yãykotĩnn,jewaywayway,radꞌ,hexx,namokonasetitere,ovafajafajahakaraho,brota,mynakykpykyk,epotmuꞌe,urápi,tíkã,cärayqui,reptu
tapyinỹ,maati,ikamaerekatakini,kienagaze,penemiruz,omboꞌe,miniwatad,antioquiape,jãpry,tatakwa,rihuòte,otaꞌwar,kĩnhk,itamo,ãmõg,wuykadi,gadꞌ,hattx,ximatyakekone,itxira,marcha,nisizyzykik,uruwu,otoyóko,mâtikã,ishyayninchicta,asab
namopoh,pahihti,hamariteakori,kionmaen,hezeruz,onhemoꞌyvyĩꞌi,oteen,anduha,rỹ,hesakã,taruki,pigeꞌem,kaprĩk,tenpata,xuxpexg,bima,tanadꞌ,kaixtx,mokitere,ikanapororo,critica,zitsek,saka,perekáxoa,niîtimi,tapunacücunä,roti
inykyryh,kumrẽx,apokakoni,tiuntuzeze,uzeꞌez,rereko,itediw,mombitu,kugmĩ,tanhamombaꞌe,riyreyreny,tejemuaẽmeteer,õtdjwak,awoꞌpa,xupxetn,itabutbũc,medꞌ,wahxnx,xiseritere,orajoma,prende,tysimoewy,nakua,koperáxo,kúkã,aśhuśhallayquita,danhimnhihârâ
nymeroh,akatorxà,xerosareẽ,kyampygue,zazeꞌez,omboaxy,idowedit,ongapereuhu,sygsa,tapenhembopyꞌa,raraykywydynany,ꞌawauwar,kadjàrk,nîtarumaꞌtî,yõkãnãm,ipotpet,tamen,next,maxeharene,kahira,enriquece,tsipupu,sesa,imokóvoku,tohakã,salomon,wahub
nenyokyh,krãhtũm,katxineiroteni,intuwyon,ezeruz,hoꞌapa,lakat,nacor,kãpa,erenhemombaꞌe,rurua,tuw,omũnhk,kawarepon,nakg,jejojo,rabanꞌ,nottx,isoawi,onakanori,alcança,tsikaharapehudizuikik,koꞌi,ikútipasikoponovo,yumí,licaycälishunqui,rãihâri
ynysekeremah,myre,xáiro,intâzeze,waneruz,ojerovia,anoda,ahemongyhyjihete,fy,anhemombaꞌe,reteheõhyy,resakeꞌem,kràk,wîtînpaiꞌnî,hãptupm,beac,mabed,wethx,waiyase,binaabosira,conserva,zehezozokikik,taka,teinónu,kókã,aycalla,rãzuwa
tõsenetaono,tõ,atokiriakori,tâjiwypa,nazanemuz,xembou,manit,agripa,ẽvã,arete,rityhynyõhyy,jareporomutareꞌem,amimark,upîikaꞌtîiyaꞌnî,putn,ibukuruk,radab,yats,enomase,avanofijahakihahavi,recolhe,tsikumu,tohũ,oropúkuxoa,mariakã,willaśhuptiqui,nhoprub
asahkatopõ,kwat,nikiko,sapabila,remiruz,nhomboaty,linik,imombopa,kãmẽ,mburuvixa,ririõhyy,ẽꞌẽn,anhingêtk,etayaꞌnî,xutĩg,itabikuku,mabahasꞌ,nxtx,himairaene,najahariharijanara,agarra,tsihahaĩ,aikaꞌiwa,kuxoíxoa,duu,yaćhapacücäta,simirowahutu
nymeropoh,ixtàmnhwỳ,siãkari,âsenogu,uzeruz,peꞌa,inadeeg,ndyapeha,kupe,hye,rexisỹny,oporomuriwer,bipdjurk,maꞌtanîpîtîpon,nũnn,itaybitbũc,nahedꞌ,thetx,akomaniyatyakijoitere,avanakaidivara,arrisca,nisiharasusuhik,notia,exókovi,maríkã,pintïshacunäta,nhimiroti
potapih,panã,pimapotxitakini,adanâ,naperuz,nhanhemongarai,imed,rembirekoete,vegve,haku,riraykydỹỹny,amaraꞌneꞌem,janork,uupiaꞌnî,gãy,jemumukukuk,mabadꞌ,khaixkx,maxaokowinitere,iakahojahi,bate,tsipikpokzitsiki,wakua,evi,sẽríkã,nimänayquipä,rowairébé
penetatopõ,dõn,aãkixinire,egaseon,zanereruz,xemoĩ,adinajac,ahemoandyandyi,kutẽ,oronhembopyꞌa,ròwidỹỹ,aipor,katik,yainonkayaꞌnî,ãxuyg,jaci,rakanꞌ,kotx,hamawaiyanene,avakaraganaha,derrota,tahasakani,wuanua,úxopa,nɨmôtikã,aychanćhü,wabzuri
itumekyh,ijaew,pariseoakori,iama,hereruz,nhamombeꞌu,noleen,pindo,ise,ijapyka,rexibinany,otesirũgatur,rẽnhk,yarîton,kummug,mutitin,rabadꞌ,txuts,ekaxosetyase,avadadamira,dança,tsipahabetesa,hanua,uxoponoa,tokãha,uywaycäta,dazawi
onekaropoh,papam,akiripa,kozohoinzeze,napezeruz,xemboaxy,lidiim,okotehe,kype,ikurusu,riwikòhenany,pejepyꞌataꞌwar,itẽmk,tîwaraino,mãmm,koato,raheb,nhy,matalatyaka,vakapoarijahaki,range,tynapukaraka,uianua,veyopeâ,yapati,ucuyta,rosawi
namorepatopõ,ani,kapokiãtini,einwânseze,hemuz,oura,olid,nhiremiendu,kókrã,gwamoi,rieryõle,mogyaw,abêk,ayonpayamîꞌ,ãyãykutn,iwarururu,nahed,jutt,wokoawa,avakakodiabakhia,assalta,tahabawy,kahu,iképi,bahumí,nunäpa,umhutu
jatyh,ixkrãhtũm,mitekaĩ,tâdâseu,pezeꞌez,omoꞌarandu,dinilakideted,renondeha,isogvã,nhanhemombaꞌe,rexiwodohonany,tefereꞌem,ànhk,yenupayaꞌnî,hãmxopm,owebei,hꞌ,wettx,xixiye,bigathanijahaki,insisti,tsikeba,watꞌymua,tonóke,tamúkã,malcäcunaćhü,manhipi
ewokatopõ,mẽhprĩre,poiãorini,mâwan,zazeruz,pemovaẽ,oyatit,nderehe,jẽgmĩ,omombaꞌe,raitxỹte,oropotaꞌwar,atomk,tînpoꞌtî,hãmyũmũg,eykukuk,ganadꞌ,hitsx,ijikola,avanaoni,fracassa,mozumubaik,potmue,vaheréxinonu,rekãha,wätäman,nheme
