cać,ś,je,dav,milayn,quiqu,wayuyn,cayn,da,d,j,ze,jes,ïg,mansi,sal,sa,s
,,,,,,,,,,,,,,,,saulowan,
,,,,,,,,,,,,,,,salamina,,
,,,,,,,,,,,,,,,,salamina,
,,,,,,,,,,jatućhä,,,,,,,
,,,,,,,,,,,,,,,,saulta,
,,,,,,,,,,,,,,,,,saulta
,,,davidta,,,,,,,,,,,,,,
,,,,,,,,davidta,,,,,,,,,
,,,,,,,,,davidta,,,,,,,,
,,,,,,,,,,,,,,,,,simäna
,,,,,,,,,,jucwä,,,,,,,
,,,,,,,,,,,,jesusllam,,,,,
,,,,,,,,,,,,,,,,,sïlüpa
,,,,,,,,,derbe,,,,,,,,
,,,,,,,,,dioschu,,,,,,,,
,,,,,,,,,,,,,,,,,simonpi
,,,,,,,,,,,,,,,,,silas
,,,,,,,,,,,,,,,,,silasta
,,,,,,,,,,,,,,,,,sityup
,,,,,,,,,,,,,,,,,sityüta
,,,,,,,,,,,,,,,,,silaspa
,śhaśhay,,,,,,,,,,,,,,,,
,,,,,,,,damaris,,,,,,,,,
,,,,,,,,,damaris,,,,,,,,
