a,jo,apa,ap,yna,ky,m,ynan,kyn,ja,re,ta,aseta,t,j
,,,,,,,,,,,,,toiparo,
,,,apone,,,,,,,,,,,
apone,,,,,,,,,,,,,,
,,,,,kyrirykõ,,,,,,,,,
,,,apotoh,,,,,,,,,,,
,,,,,,,,,,,,,tupimã,
,,,,,,,,,,retyry,,,,
,,apatõme,,,,,,,,,,,,
,,,,,,mamaome,,,,,,,,
,,,,,,myka,,,,,,,,
,,,,,,,,,,,tamuxi,,,
,,,,,,,,,,,,,tamuxi,
aroase,,,,,,,,,,,,,,
,,,,,,,,,jaroase,,,,,
,,,,,,,,,,,,,,jaroase
awaro,,,,,,,,,,,,,,
,,,,,,,,,,,,,tamose,
,,,,,,,,,,,tamurume,,,
arykane,,,,,,,,,,,,,,
,,,,,,,,,jamihme,,,,,
,,,,,,,,,,,,,,jamihme
,,,,,,,,,,,,,tũporẽ,
,,,,,,,,,,,,,tomase,
,,,,,,,,,,,takehse,,,
,,,,,,,,,,,,,tuhkase,
,,,,,,,,,,,,,tupũ,
,,,,,,,,,,,,,tomary,
,,,,,,,,,,,,,totyhse,
,,,,,,,,,,,,,topoh,
,,,,,,,,,,,,,,jota
arota,,,,,,,,,,,,,,
,,,,,,,,,,,taryse,,,
,,,,,,,,,,,,,tohrame,
,,,,,,,,,,,takarah,,,
,,,,,,,,,,,,,takarah,
,,,,,,,,,,,,,tuhkãkõ,
,,,,,,,,,,,,,tõmase,
,,,,,,,,kynowõne,,,,,,
,,,,,kynowõne,,,,,,,,,
,,,,,,,,,,,,,tonahsẽ,
,,,,,,,,,,,,,tõmiry,
,,,,,,,,,,,,,,jũme
,,,,,,,,,,,,,,juno
,,,,,,,,,,,,,tuno,
,,,,,,mahro,,,,,,,,
,,,,,,,,,,,,,tosake,
,,,,,,,,,,,,,tãhpome,
,,,,,,,,,,,,,tonẽse,
,,,,,,,,,,,,,toipe,
amoro,,,,,,,,,,,,,,
,,,,,kymoro,,,,,,,,,
,,,,,,,,,,,,,,jyrine
,,,,,,,,kynyrine,,,,,,
,,,,,,myhnõko,,,,,,,,
,,,,,,,,,,,,,tohkane,
,,,,,,,,,,,tarõkõ,,,
,,,,,,marõkõ,,,,,,,,
,,,,,,,,,,,,,tarõkõ,
aopoko,,,,,,,,,,,,,,
aropoko,,,,,,,,,,,,,,
akuohne,,,,,,,,,,,,,,
,,,,,,,,,,,,,tapoe,
,,,,,,munuru,,,,,,,,
anome,,,,,,,,,,,,,,
ahnome,,,,,,,,,,,,,,
,,,,,,,,,,,,,tãty,
awãty,,,,,,,,,,,,,,
anỹko,,,,,,,,,,,,,,
,,,,,,mateu,,,,,,,,
,,,,,,,,,,,,,tateu,
,,,apoitoh,,,,,,,,,,,
apoitoh,,,,,,,,,,,,,,
,,,apoine,,,,,,,,,,,
,,,,,,,,,,,,,toine,
apoine,,,,,,,,,,,,,,
,,,,,,,,,,,,,tinerũ,
,,,,,,meza,,,,,,,,
,,,apuhne,,,,,,,,,,,
,,,,,,marõ,,,,,,,,
atae,,,,,,,,,,,,,,
amõko,,,,,,,,,,,,,,
,,,,,,,,,,,tamuxiry,,,
,,,,,,,,,,,,,,jẽxiry
,,,,,,,,,,,,,taroro,
,,,,,,munume,,,,,,,,
,,,,,,,,,,,,,tapo,
,,,,,,mykapo,,,,,,,,
,,,,,,,,,,,tauku,,,
,,,,,,,,kynomõne,,,,,,
,,,,,kynomõne,,,,,,,,,
,,,,,,,,,,,tanỹse,,,
anỹse,,,,,,,,,,,,,,
,,,,,,matohu,,,,,,,,
,,,,,kynako,,,,,,,,,
apano,,,,,,,,,,,,,,
,,,apere,,,,,,,,,,,
,,,,,,,,,,,taere,,,
,,,,,,,,,japery,,,,,
,,,,,,moxiã,,,,,,,,
,,,,,,,,,,,,,tohmane,
akorony,,,,,,,,,,,,,,
,,,,,,,,,jakorony,,,,,
,,,,,,,,,,,takorony,,,
aupeu,,,,,,,,,,,,,,
